,image,real_calibration,calibration
0,serie_4_angle_274.21_mrad.tiff,273.77010646288807,274.21
1,serie_3_angle_257.12_mrad.tiff,261.43123793054684,257.12
2,serie_3_angle_294.15_mrad.tiff,298.37749828329606,294.15
3,serie_1_angle_288.45_mrad.tiff,288.34558143064464,288.45
4,serie_2_angle_ 37.79_mrad.tiff,37.788467809734136,37.79
5,serie_0_angle_ 60.58_mrad.tiff,59.04448095270959,60.58
6,serie_3_angle_ 32.09_mrad.tiff,33.56843587159124,32.09
7,serie_3_angle_160.27_mrad.tiff,157.47500311533412,160.27
8,serie_3_angle_128.94_mrad.tiff,128.8463506161623,128.94
9,serie_1_angle_ 32.09_mrad.tiff,33.56843587159124,32.09
10,serie_0_angle_297.00_mrad.tiff,299.1370194677511,297.0
11,serie_0_angle_288.45_mrad.tiff,300.2639877334901,288.45
12,serie_2_angle_ 86.21_mrad.tiff,86.02633239595455,86.21
13,serie_3_angle_ 37.79_mrad.tiff,37.57376060626974,37.79
14,serie_1_angle_242.88_mrad.tiff,242.81686941233374,242.88
15,serie_1_angle_277.06_mrad.tiff,270.99005559085117,277.06
16,serie_0_angle_163.12_mrad.tiff,155.4105136089733,163.12
17,serie_3_angle_211.55_mrad.tiff,216.1201756837619,211.55
18,serie_4_angle_100.45_mrad.tiff,101.73818256466883,100.45
19,serie_3_angle_ 83.36_mrad.tiff,85.36027996769465,83.36
20,serie_0_angle_ 34.94_mrad.tiff,33.56843587159124,34.94
21,serie_4_angle_297.00_mrad.tiff,299.1370194677511,297.0
22,serie_4_angle_ 43.48_mrad.tiff,43.9823400666852,43.48
23,serie_2_angle_120.39_mrad.tiff,123.53237227784743,120.39
24,serie_3_angle_191.61_mrad.tiff,197.91688760745893,191.61
25,serie_2_angle_180.21_mrad.tiff,185.84590348306895,180.21
26,serie_1_angle_217.24_mrad.tiff,219.36714760968414,217.24
27,serie_3_angle_225.79_mrad.tiff,232.70459049345487,225.79
28,serie_1_angle_237.18_mrad.tiff,238.6713748650819,237.18
29,serie_3_angle_197.30_mrad.tiff,198.20662185879374,197.3
30,serie_0_angle_131.79_mrad.tiff,126.10095445818322,131.79
